,Sentence,sequences,length,Emotion
12991,angry upset point feeling numb one bad thing sure set edge,"['angry', 'upset', 'point', 'feeling', 'numb', 'one', 'bad', 'thing', 'sure', 'set', 'edge']",11,sadness
12993,immediately feeling guilt selfish thought practical side could would take care parent,"['immediately', 'feeling', 'guilt', 'selfish', 'thought', 'practical', 'side', 'could', 'would', 'take', 'care', 'parent']",12,anger
12995,adore watch gift list know feeling unloved surprise like,"['adore', 'watch', 'gift', 'list', 'know', 'feeling', 'unloved', 'surprise', 'like']",9,sadness
12996,feel bit sadness loss remind love never lost person every lost well,"['feel', 'bit', 'sadness', 'loss', 'remind', 'love', 'never', 'lost', 'person', 'every', 'lost', 'well']",12,sadness
12997,crazy idea water slogging around stomach would make feel kept sip absolute minimum,"['crazy', 'idea', 'water', 'slogging', 'around', 'stomach', 'would', 'make', 'feel', 'kept', 'sip', 'absolute', 'minimum']",13,sadness
12998,also love substantially feel like look,"['also', 'love', 'substantially', 'feel', 'like', 'look']",6,sadness
13002,feel dull tired blah school stuff thought important start school year,"['feel', 'dull', 'tired', 'blah', 'school', 'stuff', 'thought', 'important', 'start', 'school', 'year']",11,sadness
13004,really feel awkward,"['really', 'feel', 'awkward']",3,sadness
13005,going fix thing either feeling awkward thing,"['going', 'fix', 'thing', 'either', 'feeling', 'awkward', 'thing']",7,sadness
13008,spent lot childhood feeling completely frightened remember lot good thing,"['spent', 'lot', 'childhood', 'feeling', 'completely', 'frightened', 'remember', 'lot', 'good', 'thing']",10,fear
13009,quarrel parent convinced right,"['quarrel', 'parent', 'convinced', 'right']",4,anger
13010,classmate got homework got got result merit grade found humility hypocritical found disgusting,"['classmate', 'got', 'homework', 'got', 'got', 'result', 'merit', 'grade', 'found', 'humility', 'hypocritical', 'found', 'disgusting']",13,anger
13012,feeling homesick decided venture relatively new part town,"['feeling', 'homesick', 'decided', 'venture', 'relatively', 'new', 'part', 'town']",8,sadness
13016,feel simply many,"['feel', 'simply', 'many']",3,sadness
13018,get feeling tortured,"['get', 'feeling', 'tortured']",3,anger
13019,feeling aching loss void life place filled,"['feeling', 'aching', 'loss', 'void', 'life', 'place', 'filled']",7,sadness
13022,almost feel like month thinking actually sure wasnt wasted sister got married,"['almost', 'feel', 'like', 'month', 'thinking', 'actually', 'sure', 'wasnt', 'wasted', 'sister', 'got', 'married']",12,sadness
13023,feel like something take back thing said make feel like wish feel like something take back thing said,"['feel', 'like', 'something', 'take', 'back', 'thing', 'said', 'make', 'feel', 'like', 'wish', 'feel', 'like', 'something', 'take', 'back', 'thing', 'said']",18,sadness
13024,little teary feeling little sorry,"['little', 'teary', 'feeling', 'little', 'sorry']",5,sadness
13025,feeling bit distressed,"['feeling', 'bit', 'distressed']",3,fear
13027,seriously feel like prisoner feel awfully gloomy school thats always want get gate early possible,"['seriously', 'feel', 'like', 'prisoner', 'feel', 'awfully', 'gloomy', 'school', 'thats', 'always', 'want', 'get', 'gate', 'early', 'possible']",15,sadness
13028,feel like rely god word yet impatient wait,"['feel', 'like', 'rely', 'god', 'word', 'yet', 'impatient', 'wait']",8,anger
13029,feeling mad didnt reply got worried,"['feeling', 'mad', 'didnt', 'reply', 'got', 'worried']",6,anger
13030,aware point view white trip fulfillment childhood dream maybe awareness able feel tragic dawning experience humanity ruthless rapacity greed,"['aware', 'point', 'view', 'white', 'trip', 'fulfillment', 'childhood', 'dream', 'maybe', 'awareness', 'able', 'feel', 'tragic', 'dawning', 'experience', 'humanity', 'ruthless', 'rapacity', 'greed']",19,sadness
13033,feel like starting name dont want boring,"['feel', 'like', 'starting', 'name', 'dont', 'want', 'boring']",7,sadness
13035,dont know wrote following little note feel today offended following posting obviously lived long enough act believe,"['dont', 'know', 'wrote', 'following', 'little', 'note', 'feel', 'today', 'offended', 'following', 'posting', 'obviously', 'lived', 'long', 'enough', 'act', 'believe']",17,anger
13038,feel beaten,"['feel', 'beaten']",2,sadness
13040,would grave disservice feeling never recall quite heartbroken life,"['would', 'grave', 'disservice', 'feeling', 'never', 'recall', 'quite', 'heartbroken', 'life']",9,sadness
13041,feel like got resentful tired talk badly,"['feel', 'like', 'got', 'resentful', 'tired', 'talk', 'badly']",7,anger
13045,feel aching,"['feel', 'aching']",2,sadness
13046,hope see feel mad glint eye madness pathological curiosity,"['hope', 'see', 'feel', 'mad', 'glint', 'eye', 'madness', 'pathological', 'curiosity']",9,anger
13047,feel feel sorry think ability empathize,"['feel', 'feel', 'sorry', 'think', 'ability', 'empathize']",6,sadness
13049,point dread anyone anything feel like one opportunity fail something horrible place,"['point', 'dread', 'anyone', 'anything', 'feel', 'like', 'one', 'opportunity', 'fail', 'something', 'horrible', 'place']",12,sadness
13053,must admit tonight feeling bit homesick little,"['must', 'admit', 'tonight', 'feeling', 'bit', 'homesick', 'little']",7,sadness
13054,see lot strain people tell feeling pretty supposed,"['see', 'lot', 'strain', 'people', 'tell', 'feeling', 'pretty', 'supposed']",8,sadness
13055,drape tie get feel would look,"['drape', 'tie', 'get', 'feel', 'would', 'look']",6,sadness
13057,starting feel drained,"['starting', 'feel', 'drained']",3,sadness
13058,hate feeling boob size,"['hate', 'feeling', 'boob', 'size']",4,anger
13059,feel lush lush know everyone think scummy annoying,"['feel', 'lush', 'lush', 'know', 'everyone', 'think', 'scummy', 'annoying']",8,sadness
13060,think nobody reach feel suspicious,"['think', 'nobody', 'reach', 'feel', 'suspicious']",5,fear
13061,didnt know feel except ashamed feeling sorrow,"['didnt', 'know', 'feel', 'except', 'ashamed', 'feeling', 'sorrow']",7,sadness
13064,feel emotional reaction lot time emotion physical reaction well,"['feel', 'emotional', 'reaction', 'lot', 'time', 'emotion', 'physical', 'reaction', 'well']",9,sadness
13065,mean change great though unless feel like alone experience high autism scary make decision want work order person want,"['mean', 'change', 'great', 'though', 'unless', 'feel', 'like', 'alone', 'experience', 'high', 'autism', 'scary', 'make', 'decision', 'want', 'work', 'order', 'person', 'want']",19,sadness
13066,feel like becoming dull witless stupid zombie spending life friend,"['feel', 'like', 'becoming', 'dull', 'witless', 'stupid', 'zombie', 'spending', 'life', 'friend']",10,sadness
13068,mean like help feel little,"['mean', 'like', 'help', 'feel', 'little']",5,fear
13069,busy pleasing people currently feel regretful today,"['busy', 'pleasing', 'people', 'currently', 'feel', 'regretful', 'today']",7,sadness
13071,kind feeling melancholy recent tragedy know get feeling every turn last turn ever going make life,"['kind', 'feeling', 'melancholy', 'recent', 'tragedy', 'know', 'get', 'feeling', 'every', 'turn', 'last', 'turn', 'ever', 'going', 'make', 'life']",16,sadness
13072,feel message lame something,"['feel', 'message', 'lame', 'something']",4,sadness
13076,sick feeling unwelcome,"['sick', 'feeling', 'unwelcome']",3,sadness
13077,know affected importance beauty deeply think ever stop feeling inadequate way measuring society narrow unattainable view beauty,"['know', 'affected', 'importance', 'beauty', 'deeply', 'think', 'ever', 'stop', 'feeling', 'inadequate', 'way', 'measuring', 'society', 'narrow', 'unattainable', 'view', 'beauty']",17,sadness
13078,picked oxbow derby two week ago turned bet today feeling combination wouldnt beaten,"['picked', 'oxbow', 'derby', 'two', 'week', 'ago', 'turned', 'bet', 'today', 'feeling', 'combination', 'wouldnt', 'beaten']",13,sadness
13080,tell feel,"['tell', 'feel']",2,fear
13082,feel nothing empty nothing becomes something deep ache longing filled,"['feel', 'nothing', 'empty', 'nothing', 'becomes', 'something', 'deep', 'ache', 'longing', 'filled']",10,sadness
13083,nothing respect jerry sloan jazz whole feel wronged forced stomach series,"['nothing', 'respect', 'jerry', 'sloan', 'jazz', 'whole', 'feel', 'wronged', 'forced', 'stomach', 'series']",11,anger
13084,wept grandparent phone would feel god presence felt,"['wept', 'grandparent', 'phone', 'would', 'feel', 'god', 'presence', 'felt']",8,sadness
13086,feel frightened anxious,"['feel', 'frightened', 'anxious']",3,fear
13093,hate environment constantly feeling cast aside forgotten,"['hate', 'environment', 'constantly', 'feeling', 'cast', 'aside', 'forgotten']",7,sadness
13095,mean logistics sort way feel like cant take one frantic non stop day,"['mean', 'logistics', 'sort', 'way', 'feel', 'like', 'cant', 'take', 'one', 'frantic', 'non', 'stop', 'day']",13,fear
13096,guess ill quit prediction quit feeling,"['guess', 'ill', 'quit', 'prediction', 'quit', 'feeling']",6,sadness
13097,crush bus mate feel strange used despise,"['crush', 'bus', 'mate', 'feel', 'strange', 'used', 'despise']",7,fear
13098,feel like point emotional damage health fixing especially since know arent,"['feel', 'like', 'point', 'emotional', 'damage', 'health', 'fixing', 'especially', 'since', 'know', 'arent']",11,sadness
13099,remember feeling disturbed image,"['remember', 'feeling', 'disturbed', 'image']",4,sadness
13100,day make feel little uncertain future pressure pierce deep feeling completely isolated world used glory thrill go,"['day', 'make', 'feel', 'little', 'uncertain', 'future', 'pressure', 'pierce', 'deep', 'feeling', 'completely', 'isolated', 'world', 'used', 'glory', 'thrill', 'go']",17,fear
13102,hate feeling listless classwork,"['hate', 'feeling', 'listless', 'classwork']",4,sadness
13104,last post still feeling completely exhausted weekend,"['last', 'post', 'still', 'feeling', 'completely', 'exhausted', 'weekend']",7,sadness
13105,could help feeling meant rude father though word quite polite,"['could', 'help', 'feeling', 'meant', 'rude', 'father', 'though', 'word', 'quite', 'polite']",10,anger
13107,feeling somewhat melancholy,"['feeling', 'somewhat', 'melancholy']",3,sadness
13111,wish album back day feel like many listening opportunity often come across album like whole way,"['wish', 'album', 'back', 'day', 'feel', 'like', 'many', 'listening', 'opportunity', 'often', 'come', 'across', 'album', 'like', 'whole', 'way']",16,sadness
13113,feel like song pretty lame elementary like,"['feel', 'like', 'song', 'pretty', 'lame', 'elementary', 'like']",7,sadness
13114,feel heartbroken tell feel dont love really love,"['feel', 'heartbroken', 'tell', 'feel', 'dont', 'love', 'really', 'love']",8,sadness
13115,feeling little uncertain waiting hear land lady confirm date receive contract,"['feeling', 'little', 'uncertain', 'waiting', 'hear', 'land', 'lady', 'confirm', 'date', 'receive', 'contract']",11,fear
13117,feel like lonely philosopher,"['feel', 'like', 'lonely', 'philosopher']",4,anger
13118,know even unworthy facilitate child feel truly anguished interference work stunted promise spirit,"['know', 'even', 'unworthy', 'facilitate', 'child', 'feel', 'truly', 'anguished', 'interference', 'work', 'stunted', 'promise', 'spirit']",13,sadness
13119,want people leave alone make special feel really vain bad people pay much attention,"['want', 'people', 'leave', 'alone', 'make', 'special', 'feel', 'really', 'vain', 'bad', 'people', 'pay', 'much', 'attention']",14,sadness
13120,seem wake every day recently feeling immensely irritable cant quite work,"['seem', 'wake', 'every', 'day', 'recently', 'feeling', 'immensely', 'irritable', 'cant', 'quite', 'work']",11,anger
13122,feel like groggy even exhausted today,"['feel', 'like', 'groggy', 'even', 'exhausted', 'today']",6,sadness
13125,lie awake hour look time feel ashamed thought,"['lie', 'awake', 'hour', 'look', 'time', 'feel', 'ashamed', 'thought']",8,sadness
13126,feel strange shift heat get excited nerve bubbling inside,"['feel', 'strange', 'shift', 'heat', 'get', 'excited', 'nerve', 'bubbling', 'inside']",9,fear
13128,feeling shy approach,"['feeling', 'shy', 'approach']",3,fear
13130,still feel horrible,"['still', 'feel', 'horrible']",3,sadness
13131,feel incredibly disappointed,"['feel', 'incredibly', 'disappointed']",3,sadness
13132,feel like cant cant give stubborn must win,"['feel', 'like', 'cant', 'cant', 'give', 'stubborn', 'must', 'win']",8,anger
13133,temple feeling vaguely,"['temple', 'feeling', 'vaguely']",3,fear
13136,look pretty today without feeling vain,"['look', 'pretty', 'today', 'without', 'feeling', 'vain']",6,sadness
13138,didnt feel needy didnt feel emotional,"['didnt', 'feel', 'needy', 'didnt', 'feel', 'emotional']",6,sadness
13139,feel petty,"['feel', 'petty']",2,anger
13141,feel hurt know people age dont see see dont understand much important life,"['feel', 'hurt', 'know', 'people', 'age', 'dont', 'see', 'see', 'dont', 'understand', 'much', 'important', 'life']",13,anger
13142,cat street run head open beside,"['cat', 'street', 'run', 'head', 'open', 'beside']",6,anger
13143,feel aching tiredness go core,"['feel', 'aching', 'tiredness', 'go', 'core']",5,sadness
13145,know feel sense responsibility toward whose family home hurricane,"['know', 'feel', 'sense', 'responsibility', 'toward', 'whose', 'family', 'home', 'hurricane']",9,sadness
13147,feel bad pretty much everyone involved generally bummed see violence take place perhaps disturbing insidious predictable victim blaming taken hold day since violent incident,"['feel', 'bad', 'pretty', 'much', 'everyone', 'involved', 'generally', 'bummed', 'see', 'violence', 'take', 'place', 'perhaps', 'disturbing', 'insidious', 'predictable', 'victim', 'blaming', 'taken', 'hold', 'day', 'since', 'violent', 'incident']",24,sadness
13148,feel idiotic right,"['feel', 'idiotic', 'right']",3,sadness
13149,intensely feeling unloved,"['intensely', 'feeling', 'unloved']",3,sadness
13155,suppose thats feel melancholy whole thing,"['suppose', 'thats', 'feel', 'melancholy', 'whole', 'thing']",6,sadness
13158,feel like wanting make money,"['feel', 'like', 'wanting', 'make', 'money']",5,sadness
13162,particular day odds grandfather added fuel fire,"['particular', 'day', 'odds', 'grandfather', 'added', 'fuel', 'fire']",7,anger
13164,feel guilty sometimes share challenge life thrown way financially emotionally recently medically,"['feel', 'guilty', 'sometimes', 'share', 'challenge', 'life', 'thrown', 'way', 'financially', 'emotionally', 'recently', 'medically']",12,sadness
13165,feel believe long humanity subject potential communication idea potential find common ground language,"['feel', 'believe', 'long', 'humanity', 'subject', 'potential', 'communication', 'idea', 'potential', 'find', 'common', 'ground', 'language']",13,sadness
13169,tend avoid news often feel like add value life make fearful anxious slightly paranoid,"['tend', 'avoid', 'news', 'often', 'feel', 'like', 'add', 'value', 'life', 'make', 'fearful', 'anxious', 'slightly', 'paranoid']",14,fear
13170,feel foolish hard hit,"['feel', 'foolish', 'hard', 'hit']",4,sadness
13171,feeling terribly impatient,"['feeling', 'terribly', 'impatient']",3,anger
13172,begin feel dull ache left side,"['begin', 'feel', 'dull', 'ache', 'left', 'side']",6,sadness
13174,actually feeling last week bit bullet,"['actually', 'feeling', 'last', 'week', 'bit', 'bullet']",6,sadness
13177,know eat horribly feel horrible,"['know', 'eat', 'horribly', 'feel', 'horrible']",5,sadness
13178,feel listless useless,"['feel', 'listless', 'useless']",3,sadness
13179,feel like unsuccessful endeavor friend life fault,"['feel', 'like', 'unsuccessful', 'endeavor', 'friend', 'life', 'fault']",7,sadness
13180,write feel like furious abandonment embrace cliche,"['write', 'feel', 'like', 'furious', 'abandonment', 'embrace', 'cliche']",7,anger
13181,cannot describe feeling frantic alarm,"['cannot', 'describe', 'feeling', 'frantic', 'alarm']",5,fear
13182,id gotten feeling friend deeply whatever id done,"['id', 'gotten', 'feeling', 'friend', 'deeply', 'whatever', 'id', 'done']",8,anger
13183,cycling past car someone door nearly bike traffic,"['cycling', 'past', 'car', 'someone', 'door', 'nearly', 'bike', 'traffic']",8,fear
13185,feel word petty telling action going speak word ever able,"['feel', 'word', 'petty', 'telling', 'action', 'going', 'speak', 'word', 'ever', 'able']",10,anger
13188,feel rebellious rule like class start theyre taking roll,"['feel', 'rebellious', 'rule', 'like', 'class', 'start', 'theyre', 'taking', 'roll']",9,anger
13190,feel helpless like want hurl cave sadness trying devour,"['feel', 'helpless', 'like', 'want', 'hurl', 'cave', 'sadness', 'trying', 'devour']",9,sadness
13191,feel fierce medium campaign attack know right track,"['feel', 'fierce', 'medium', 'campaign', 'attack', 'know', 'right', 'track']",8,anger
13193,know feeling impatient cause question mine waiting answer,"['know', 'feeling', 'impatient', 'cause', 'question', 'mine', 'waiting', 'answer']",8,anger
13194,keep feeling disgusted,"['keep', 'feeling', 'disgusted']",3,anger
13198,personally feel confront violent death absolute openness example video something yet,"['personally', 'feel', 'confront', 'violent', 'death', 'absolute', 'openness', 'example', 'video', 'something', 'yet']",11,anger
13199,feeling afraid,"['feeling', 'afraid']",2,fear
13200,feeling quite distracted wish could answer question seem unable block forget answer logical answer,"['feeling', 'quite', 'distracted', 'wish', 'could', 'answer', 'question', 'seem', 'unable', 'block', 'forget', 'answer', 'logical', 'answer']",14,anger
13201,remember feeling nervous wasnt,"['remember', 'feeling', 'nervous', 'wasnt']",4,fear
13203,feel quite needy recourse,"['feel', 'quite', 'needy', 'recourse']",4,sadness
13205,must tell feel pretty stupid standing yard motor stop motor stop time get inch line,"['must', 'tell', 'feel', 'pretty', 'stupid', 'standing', 'yard', 'motor', 'stop', 'motor', 'stop', 'time', 'get', 'inch', 'line']",15,sadness
13206,feel extremely alone isolated thing nothing could truth,"['feel', 'extremely', 'alone', 'isolated', 'thing', 'nothing', 'could', 'truth']",8,sadness
13208,honestly never feel vulnerable,"['honestly', 'never', 'feel', 'vulnerable']",4,fear
13210,reason believe faith trusting lie worse start doubt heart want feel thing get messy,"['reason', 'believe', 'faith', 'trusting', 'lie', 'worse', 'start', 'doubt', 'heart', 'want', 'feel', 'thing', 'get', 'messy']",14,sadness
13211,didnt convince feel reluctant use word regarding chemistry actually unlike anything ever experienced,"['didnt', 'convince', 'feel', 'reluctant', 'use', 'word', 'regarding', 'chemistry', 'actually', 'unlike', 'anything', 'ever', 'experienced']",13,fear
13212,home feeling bit low,"['home', 'feeling', 'bit', 'low']",4,sadness
13214,deeply eye expressed deeply anger frustration feeling inadequate take care,"['deeply', 'eye', 'expressed', 'deeply', 'anger', 'frustration', 'feeling', 'inadequate', 'take', 'care']",10,sadness
13217,feel obnoxious saying,"['feel', 'obnoxious', 'saying']",3,anger
13219,feel like want rebellious regret done single daughter,"['feel', 'like', 'want', 'rebellious', 'regret', 'done', 'single', 'daughter']",8,anger
13220,express zoom fault foible non stop rather odd manner left feeling rather inadequate something fully right something better could done little bit application little bit better storytelling,"['express', 'zoom', 'fault', 'foible', 'non', 'stop', 'rather', 'odd', 'manner', 'left', 'feeling', 'rather', 'inadequate', 'something', 'fully', 'right', 'something', 'better', 'could', 'done', 'little', 'bit', 'application', 'little', 'bit', 'better', 'storytelling']",27,sadness
13221,feel fearful actually one thing usually turn good thing,"['feel', 'fearful', 'actually', 'one', 'thing', 'usually', 'turn', 'good', 'thing']",9,fear
13223,heart serve better situation moment feel helpless,"['heart', 'serve', 'better', 'situation', 'moment', 'feel', 'helpless']",7,fear
13224,feel grumpy wake early,"['feel', 'grumpy', 'wake', 'early']",4,anger
13225,could feel aching starting day,"['could', 'feel', 'aching', 'starting', 'day']",5,sadness
13226,sitting church morning looking around various people scattering pew wondering many feeling beaten right moment,"['sitting', 'church', 'morning', 'looking', 'around', 'various', 'people', 'scattering', 'pew', 'wondering', 'many', 'feeling', 'beaten', 'right', 'moment']",15,sadness
13230,feel aching gap heart,"['feel', 'aching', 'gap', 'heart']",4,sadness
13232,feel unloved remind love,"['feel', 'unloved', 'remind', 'love']",4,sadness
13235,feel like tortured artist talk,"['feel', 'like', 'tortured', 'artist', 'talk']",5,anger
13236,feel like wasnt bad probably wouldnt told moment,"['feel', 'like', 'wasnt', 'bad', 'probably', 'wouldnt', 'told', 'moment']",8,sadness
13237,found feeling fairly sort taken know,"['found', 'feeling', 'fairly', 'sort', 'taken', 'know']",6,sadness
13238,love way talk sometimes feel shy inside,"['love', 'way', 'talk', 'sometimes', 'feel', 'shy', 'inside']",7,fear
13240,want tell everyone exactly feeling soon start feel ten time pathetic stop talking,"['want', 'tell', 'everyone', 'exactly', 'feeling', 'soon', 'start', 'feel', 'ten', 'time', 'pathetic', 'stop', 'talking']",13,sadness
13242,feel like selfish bitch feeling way countless people suffering surely hundred fold,"['feel', 'like', 'selfish', 'bitch', 'feeling', 'way', 'countless', 'people', 'suffering', 'surely', 'hundred', 'fold']",12,anger
13243,feel like matter much preparation usual traveler fly,"['feel', 'like', 'matter', 'much', 'preparation', 'usual', 'traveler', 'fly']",8,sadness
13245,decided put closure irritant avoid altogether make presence feel equally unwelcome,"['decided', 'put', 'closure', 'irritant', 'avoid', 'altogether', 'make', 'presence', 'feel', 'equally', 'unwelcome']",11,sadness
13246,never feel certainly never go hungry,"['never', 'feel', 'certainly', 'never', 'go', 'hungry']",6,sadness
13248,shake feeling fundamentally dissatisfied selection democratic primary,"['shake', 'feeling', 'fundamentally', 'dissatisfied', 'selection', 'democratic', 'primary']",7,anger
13250,wont discus made feel really restless,"['wont', 'discus', 'made', 'feel', 'really', 'restless']",6,fear
13251,cannot feel lip numb burning,"['cannot', 'feel', 'lip', 'numb', 'burning']",5,sadness
13252,get away day gag line feel like sarcastic feel sorry anyone fortunate enough born,"['get', 'away', 'day', 'gag', 'line', 'feel', 'like', 'sarcastic', 'feel', 'sorry', 'anyone', 'fortunate', 'enough', 'born']",14,anger
13253,felt coming anything doc fault feeling irritable last appointment anything,"['felt', 'coming', 'anything', 'doc', 'fault', 'feeling', 'irritable', 'last', 'appointment', 'anything']",10,anger
13255,feel like affirmation however petty really need,"['feel', 'like', 'affirmation', 'however', 'petty', 'really', 'need']",7,anger
13256,end cause feel stupid lying bed non stop past min,"['end', 'cause', 'feel', 'stupid', 'lying', 'bed', 'non', 'stop', 'past', 'min']",10,sadness
13257,feel wronged,"['feel', 'wronged']",2,anger
13258,feel time tried hold stuff ill push away throw temper shout,"['feel', 'time', 'tried', 'hold', 'stuff', 'ill', 'push', 'away', 'throw', 'temper', 'shout']",11,anger
13259,kind feel violent watched non violence video,"['kind', 'feel', 'violent', 'watched', 'non', 'violence', 'video']",7,anger
13260,back un mood reading post make feel like something petty,"['back', 'un', 'mood', 'reading', 'post', 'make', 'feel', 'like', 'something', 'petty']",10,anger
13265,think biggest problem rather turning something like people feel need become something nothing rate publication generous,"['think', 'biggest', 'problem', 'rather', 'turning', 'something', 'like', 'people', 'feel', 'need', 'become', 'something', 'nothing', 'rate', 'publication', 'generous']",16,sadness
13266,feeling empty numb past month,"['feeling', 'empty', 'numb', 'past', 'month']",5,sadness
13267,really feeling,"['really', 'feeling']",2,sadness
13269,starting feel alarmed,"['starting', 'feel', 'alarmed']",3,fear
13270,feeling little girl going arrive soon still felt unsure would actually happen,"['feeling', 'little', 'girl', 'going', 'arrive', 'soon', 'still', 'felt', 'unsure', 'would', 'actually', 'happen']",12,fear
13273,really feel like time get mad,"['really', 'feel', 'like', 'time', 'get', 'mad']",6,anger
13274,feel change coming target blank rel title sky sport,"['feel', 'change', 'coming', 'target', 'blank', 'rel', 'title', 'sky', 'sport']",9,sadness
13275,id actually feeling hostile towards lot brother lately,"['id', 'actually', 'feeling', 'hostile', 'towards', 'lot', 'brother', 'lately']",8,anger
13276,id feeling shaky id spent week id away life work,"['id', 'feeling', 'shaky', 'id', 'spent', 'week', 'id', 'away', 'life', 'work']",10,fear
13278,disgusted way bus conductor threw old woman minibus simply could pay fare luggage,"['disgusted', 'way', 'bus', 'conductor', 'threw', 'old', 'woman', 'minibus', 'simply', 'could', 'pay', 'fare', 'luggage']",13,anger
13279,think great everyone el life feel much mine,"['think', 'great', 'everyone', 'el', 'life', 'feel', 'much', 'mine']",8,sadness
13280,feel like pathetic piece planet,"['feel', 'like', 'pathetic', 'piece', 'planet']",5,sadness
13282,feel greedy part come,"['feel', 'greedy', 'part', 'come']",4,anger
13284,feeling wronged impotent,"['feeling', 'wronged', 'impotent']",3,anger
13288,think want go aa meeting hear story feel rude,"['think', 'want', 'go', 'aa', 'meeting', 'hear', 'story', 'feel', 'rude']",9,anger
13289,didnt need reminder plus word made feel saw pathetic,"['didnt', 'need', 'reminder', 'plus', 'word', 'made', 'feel', 'saw', 'pathetic']",9,sadness
13291,feel idiotic sudden,"['feel', 'idiotic', 'sudden']",3,sadness
13293,feel stupid first week fair wasnt even worth working,"['feel', 'stupid', 'first', 'week', 'fair', 'wasnt', 'even', 'worth', 'working']",9,sadness
13294,feeling really weepy today sure feel better tomorrow,"['feeling', 'really', 'weepy', 'today', 'sure', 'feel', 'better', 'tomorrow']",8,sadness
13295,feeling hesitant right going alone trying remain optimistic,"['feeling', 'hesitant', 'right', 'going', 'alone', 'trying', 'remain', 'optimistic']",8,fear
13296,thinking locking house manage get organized feeling may become cranky isolated dear friend,"['thinking', 'locking', 'house', 'manage', 'get', 'organized', 'feeling', 'may', 'become', 'cranky', 'isolated', 'dear', 'friend']",13,anger
13297,feeling going seriously envious whoever win really want one,"['feeling', 'going', 'seriously', 'envious', 'whoever', 'win', 'really', 'want', 'one']",9,anger
13298,feel like beaten looking back week see,"['feel', 'like', 'beaten', 'looking', 'back', 'week', 'see']",7,sadness
13299,grateful strong support system internally externally rely feeling uncertain weak,"['grateful', 'strong', 'support', 'system', 'internally', 'externally', 'rely', 'feeling', 'uncertain', 'weak']",10,fear
13300,look feel horrible,"['look', 'feel', 'horrible']",3,sadness
13301,feel hopeless helpless,"['feel', 'hopeless', 'helpless']",3,sadness
13302,feeling regretful made contact someone need keep distance,"['feeling', 'regretful', 'made', 'contact', 'someone', 'need', 'keep', 'distance']",8,sadness
13305,hate talking present feel greedy,"['hate', 'talking', 'present', 'feel', 'greedy']",5,anger
13308,cant help feel someone going end,"['cant', 'help', 'feel', 'someone', 'going', 'end']",6,anger
13313,still need feel even idiotic naive relation,"['still', 'need', 'feel', 'even', 'idiotic', 'naive', 'relation']",7,sadness
13314,feel rather pathetic,"['feel', 'rather', 'pathetic']",3,sadness
13315,description,['description'],1,anger
13317,feeling incredibly getting everything done right clothes stuff like,"['feeling', 'incredibly', 'getting', 'everything', 'done', 'right', 'clothes', 'stuff', 'like']",9,sadness
13318,feeling uncertain,"['feeling', 'uncertain']",2,fear
13320,escape feeling,"['escape', 'feeling']",2,sadness
13321,feel weird,"['feel', 'weird']",2,fear
13322,feeling particularly homesick parent rolling west hill people love concentrated hickory,"['feeling', 'particularly', 'homesick', 'parent', 'rolling', 'west', 'hill', 'people', 'love', 'concentrated', 'hickory']",11,sadness
13323,feel guy ill ground,"['feel', 'guy', 'ill', 'ground']",4,anger
13324,feel dirty like need shower,"['feel', 'dirty', 'like', 'need', 'shower']",5,sadness
13326,feel strange sense foreboding,"['feel', 'strange', 'sense', 'foreboding']",4,fear
13329,see going army maybe going would achieve anything except feeling gotten deserved,"['see', 'going', 'army', 'maybe', 'going', 'would', 'achieve', 'anything', 'except', 'feeling', 'gotten', 'deserved']",12,sadness
13331,feeling hostile enough even hate right,"['feeling', 'hostile', 'enough', 'even', 'hate', 'right']",6,anger
13332,like even relieved done know could done better feel kind regretful,"['like', 'even', 'relieved', 'done', 'know', 'could', 'done', 'better', 'feel', 'kind', 'regretful']",11,sadness
13333,feel skeptical,"['feel', 'skeptical']",2,fear
13339,feel guilty saying something really,"['feel', 'guilty', 'saying', 'something', 'really']",5,sadness
13343,exam,['exam'],1,fear
13346,know excited going away day instead feel nothing make feel like ungrateful horrible person,"['know', 'excited', 'going', 'away', 'day', 'instead', 'feel', 'nothing', 'make', 'feel', 'like', 'ungrateful', 'horrible', 'person']",14,sadness
13348,friend family back home help feeling homesick sure,"['friend', 'family', 'back', 'home', 'help', 'feeling', 'homesick', 'sure']",8,sadness
13349,feeling bit remorseful decision kicking cheap good,"['feeling', 'bit', 'remorseful', 'decision', 'kicking', 'cheap', 'good']",7,sadness
13350,wonder bias fact anthology feel like intelligence,"['wonder', 'bias', 'fact', 'anthology', 'feel', 'like', 'intelligence']",7,anger
13352,begin express feeling romantic vision seed grew lifetime,"['begin', 'express', 'feeling', 'romantic', 'vision', 'seed', 'grew', 'lifetime']",8,sadness
13353,currently struggling feeling offended office worried body heck wrong seriously getting tube tied normal everyday thing occupy mind given time,"['currently', 'struggling', 'feeling', 'offended', 'office', 'worried', 'body', 'heck', 'wrong', 'seriously', 'getting', 'tube', 'tied', 'normal', 'everyday', 'thing', 'occupy', 'mind', 'given', 'time']",20,anger
13355,feel like idiotic herd mentality mindless follower walking street large group people,"['feel', 'like', 'idiotic', 'herd', 'mentality', 'mindless', 'follower', 'walking', 'street', 'large', 'group', 'people']",12,sadness
